question,mode,component_order,component_key,component_zh,mean_s_per_source,share_pct,mean_total_s_per_source,case_count,source_count,all_complete,aggregation,evidence_role
Q3,3,1,movement,移动时间,171.40907557711694,74.6328176919987,229.66984347891437,2400,30970,True,先逐例除以该例清除数，再对2400例取算术平均,本地已暴露模拟回归；非盲测、非官方Windows成绩
Q3,3,2,bearing,测向时间,43.507022248584754,18.943289022870374,229.66984347891437,2400,30970,True,先逐例除以该例清除数，再对2400例取算术平均,本地已暴露模拟回归；非盲测、非官方Windows成绩
Q3,3,3,switch,换频时间,8.369292393370518,3.64405368445287,229.66984347891437,2400,30970,True,先逐例除以该例清除数，再对2400例取算术平均,本地已暴露模拟回归；非盲测、非官方Windows成绩
Q3,3,4,optical,光学定位,4.384453260281385,1.909024360302625,229.66984347891437,2400,30970,True,先逐例除以该例清除数，再对2400例取算术平均,本地已暴露模拟回归；非盲测、非官方Windows成绩
Q3,3,5,laser,激光清除,2.0,0.8708152405666688,229.66984347891437,2400,30970,True,先逐例除以该例清除数，再对2400例取算术平均,本地已暴露模拟回归；非盲测、非官方Windows成绩
Q4,4,1,movement,移动时间,326.64458411594285,72.42988122991731,450.98042212586375,2400,30970,True,先逐例除以该例清除数，再对2400例取算术平均,本地已暴露模拟回归；非盲测、非官方Windows成绩
Q4,4,2,bearing,测向时间,99.01881446678321,21.95634435748258,450.98042212586375,2400,30970,True,先逐例除以该例清除数，再对2400例取算术平均,本地已暴露模拟回归；非盲测、非官方Windows成绩
Q4,4,3,switch,换频时间,18.80953896277334,4.170810536321641,450.98042212586375,2400,30970,True,先逐例除以该例清除数，再对2400例取算术平均,本地已暴露模拟回归；非盲测、非官方Windows成绩
Q4,4,4,optical,光学定位,4.507484489468864,0.9994856247242755,450.98042212586375,2400,30970,True,先逐例除以该例清除数，再对2400例取算术平均,本地已暴露模拟回归；非盲测、非官方Windows成绩
Q4,4,5,laser,激光清除,2.0,0.4434782313991053,450.98042212586375,2400,30970,True,先逐例除以该例清除数，再对2400例取算术平均,本地已暴露模拟回归；非盲测、非官方Windows成绩
