state_id,evidence,family,mode,vertices,area_m2,mec_radius_m,arm,single_clear_feasible,certified,entry_distance_m,entry_exit_distance_m,maximum_vertex_distance_m,safety_margin_m,geometry_runtime_ms,geometry_runtime_min_ms,geometry_runtime_max_ms,route_complexity_fallback,nearest_complexity_fallback,empty_K_radius_lower_bound_m,decision
syn-action-long_strip-5.0-0,synthetic_state_mechanism,long_strip,3,4,8.819206271435178,5.000000000000001,mec_center,True,True,100.0,200.0,5.000000000000001,15.0,0.00175,0.001667,0.003333,False,False,,
syn-action-long_strip-5.0-0,synthetic_state_mechanism,long_strip,3,4,8.819206271435178,5.000000000000001,inner_safe_disk,True,True,85.000001,200.0,19.817232484217893,0.18276751578210693,0.002208,0.002084,0.005917,False,False,,
syn-action-long_strip-5.0-0,synthetic_state_mechanism,long_strip,3,4,8.819206271435178,5.000000000000001,full_K_nearest,True,True,84.76872134982054,200.0158627020047,19.999999899999995,1.0000000472132342e-07,0.014917,0.01475,0.036334,False,False,,
syn-action-long_strip-5.0-0,synthetic_state_mechanism,long_strip,3,4,8.819206271435178,5.000000000000001,full_K_route,True,True,84.81668539812875,200.0,19.999999900000024,9.999997629961399e-08,0.023375,0.022625,0.036625,False,False,,
syn-action-long_strip-5.0-1,synthetic_state_mechanism,long_strip,3,4,8.819206271435178,5.000000000000001,mec_center,True,True,100.0,200.0,5.000000000000001,15.0,0.003583,0.001667,0.009334,False,False,,
syn-action-long_strip-5.0-1,synthetic_state_mechanism,long_strip,3,4,8.819206271435178,5.000000000000001,inner_safe_disk,True,True,85.000001,200.0,17.90543630683927,2.0945636931607297,0.003708,0.002166,0.006833,False,False,,
syn-action-long_strip-5.0-1,synthetic_state_mechanism,long_strip,3,4,8.819206271435178,5.000000000000001,full_K_nearest,True,True,82.44851347933137,200.13003845284715,19.999999899999995,1.0000000472132342e-07,0.032084,0.014833,0.061291,False,False,,
syn-action-long_strip-5.0-1,synthetic_state_mechanism,long_strip,3,4,8.819206271435178,5.000000000000001,full_K_route,True,True,82.8460829599586,200.0,19.99999989999999,1.000000082740371e-07,0.048042,0.022833,0.096208,False,False,,
syn-action-long_strip-5.0-2,synthetic_state_mechanism,long_strip,3,4,8.819206271435178,5.000000000000001,mec_center,True,True,92.19544457292888,178.21869724335517,5.000000000000001,15.0,0.00175,0.001667,0.001875,False,False,,
syn-action-long_strip-5.0-2,synthetic_state_mechanism,long_strip,3,4,8.819206271435178,5.000000000000001,inner_safe_disk,True,True,77.19544557292888,167.9878006121412,19.910601755556986,0.08939824444301436,0.002167,0.002042,0.003042,False,False,,
