state_id,evidence,family,mode,vertices,area_m2,mec_radius_m,plan_returned,native_geometry_runtime_ms,continuous_covered,maximum_voronoi_vertex_distance_m,circle_count,entire_plan_distance_m,exhaustive_success_cost_upper_s,equal_area_planning_first_hit_cost_s,equal_area_planning_first_hit_distance_m,equal_area_planning_first_hit_attempts,planning_atom_count,clear_action_cost_model,planning_distribution_is_official,boundary
syn-cover-long_strip-0.65-0,synthetic_state_mechanism,long_strip,3,4,304.1999999999998,29.365328194998945,True,4.161334,True,19.84848715373063,2,109.57253973979849,29.9145079479597,25.14683147857862,95.85761418301655,1.3251028806584362,243,distance/5 + 3*attempts + 2,False,
syn-cover-long_strip-0.65-37,synthetic_state_mechanism,long_strip,3,4,304.19999999999936,29.365328194998945,True,4.101417,True,19.84848715373064,2,109.57253973979847,29.914507947959695,25.146831478578616,95.85761418301652,1.3251028806584362,243,distance/5 + 3*attempts + 2,False,
syn-cover-long_strip-1.0-0,synthetic_state_mechanism,long_strip,3,4,720.0,45.17742799230607,True,3.168125,True,19.570361344216447,5,233.95578256714495,63.79115651342899,26.54664726285753,96.31348322786789,1.7613168724279835,243,distance/5 + 3*attempts + 2,False,
syn-cover-long_strip-1.0-37,synthetic_state_mechanism,long_strip,3,4,719.999999999999,45.17742799230607,True,3.207916,True,19.57036134421644,5,233.95578256714492,63.79115651342899,26.54664726285753,96.31348322786789,1.7613168724279835,243,distance/5 + 3*attempts + 2,False,
syn-cover-long_strip-1.45-0,synthetic_state_mechanism,long_strip,3,4,1513.7999999999986,65.5072705888438,True,1.502083,True,19.872196511320865,4,146.24304879301908,43.24860975860382,28.42962987685298,95.6049395077217,2.4362139917695473,243,distance/5 + 3*attempts + 2,False,
syn-cover-long_strip-1.45-37,synthetic_state_mechanism,long_strip,3,4,1513.7999999999984,65.50727058884381,True,1.524,True,19.872196511320862,4,146.2430487930191,43.24860975860382,28.42962987685298,95.60493950772171,2.4362139917695473,243,distance/5 + 3*attempts + 2,False,
syn-cover-spindle-0.65-0,synthetic_state_mechanism,spindle,3,6,456.3000000000002,19.88617610301186,False,0.0055,,,,,,,,,,,,No optional plan returned; B3 retains measuring and fallback. This is not a clearing failure.
syn-cover-spindle-0.65-37,synthetic_state_mechanism,spindle,3,6,456.3000000000004,19.886176103011866,False,0.005083,,,,,,,,,,,,No optional plan returned; B3 retains measuring and fallback. This is not a clearing failure.
syn-cover-spindle-1.0-0,synthetic_state_mechanism,spindle,3,6,1080.0,30.59411708155671,True,3.988541,True,17.91760739243323,6,196.44931369988836,59.28986273997767,25.198052879683143,95.00261007742807,1.3991769547325104,243,distance/5 + 3*attempts + 2,False,
syn-cover-spindle-1.0-37,synthetic_state_mechanism,spindle,3,6,1080.0000000000007,30.59411708155671,True,4.015416,True,17.917607392433222,6,196.44931369988836,59.28986273997767,25.198052879683143,95.00261007742806,1.3991769547325104,243,distance/5 + 3*attempts + 2,False,
syn-cover-spindle-1.45-0,synthetic_state_mechanism,spindle,3,6,2270.7000000000007,44.36146976825723,True,3.136,True,18.848081106140196,6,200.2067104212437,60.04134208424874,26.669960924216863,96.18931079392382,1.8106995884773662,243,distance/5 + 3*attempts + 2,False,
syn-cover-spindle-1.45-37,synthetic_state_mechanism,spindle,3,6,2270.7,44.36146976825724,True,3.216625,True,18.84808110614019,6,200.20671042124366,60.04134208424873,26.717951617356455,96.30580746949832,1.8189300411522633,243,distance/5 + 3*attempts + 2,False,
