state_id,evidence,family,mode,vertices,area_m2,mec_radius_m,arm,continuous_covered,construction,maximum_voronoi_vertex_distance_m,geometry_runtime_ms,circle_count,entire_plan_distance_m,exhaustive_success_cost_upper_s,equal_area_planning_first_hit_cost_s,equal_area_planning_first_hit_distance_m,equal_area_planning_first_hit_attempts,planning_atom_count,clear_action_cost_model,planning_distribution_is_official,measure_point,additional_measure_count,measurement_move_m,measurement_cost_s,zero_added_error_planning_single_disk_fraction,zero_added_error_planning_near_fraction,mean_predicted_radius_m,max_sampled_predicted_radius_m,assumed_one_measure_then_center_clear_proxy_s,guaranteed_complete_policy,boundary
syn-cover-long_strip-0.65-0,synthetic_state_mechanism,long_strip,3,4,304.1999999999998,29.365328194998945,grid25_nearest_order,True,25m rotated square grid,12.767536959022285,0.023,3,125.0,36.0,25.761316872427983,93.00411522633745,1.7201646090534979,243,distance/5 + 3*attempts + 2,False,,,,,,,,,,,
syn-cover-long_strip-0.65-0,synthetic_state_mechanism,long_strip,3,4,304.1999999999998,29.365328194998945,adaptive_certified_partition_nearest_order,True,B3-compatible finite strip geometry without cost gate or standoff,19.33830196697862,0.303,2,110.08727777777779,30.017455555555557,25.3438451303155,94.68218861454046,1.4691358024691359,243,distance/5 + 3*attempts + 2,False,,,,,,,,,,,
syn-cover-long_strip-0.65-0,synthetic_state_mechanism,long_strip,3,4,304.1999999999998,29.365328194998945,continue_bearing_one_step_proxy,,,,0.858459,,,,,,,,,,"[100.0, 50.0]",1,100.0,25.0,1.0,0.1522633744855967,11.553902693695244,14.682664097499645,32.15851716425346,False,Zero-added-error one-step bearing model; Q4 reception not guaranteed; final clear cost assumes success. Not a task-time result.
syn-cover-long_strip-0.65-37,synthetic_state_mechanism,long_strip,3,4,304.19999999999936,29.365328194998945,grid25_nearest_order,True,25m rotated square grid,12.767536959022285,0.021458,3,125.0,36.0,25.761316872427983,93.00411522633745,1.7201646090534979,243,distance/5 + 3*attempts + 2,False,,,,,,,,,,,
syn-cover-long_strip-0.65-37,synthetic_state_mechanism,long_strip,3,4,304.19999999999936,29.365328194998945,adaptive_certified_partition_nearest_order,True,B3-compatible finite strip geometry without cost gate or standoff,19.338301966978637,0.200042,2,110.08727777777777,30.017455555555554,25.3438451303155,94.68218861454046,1.4691358024691359,243,distance/5 + 3*attempts + 2,False,,,,,,,,,,,
syn-cover-long_strip-0.65-37,synthetic_state_mechanism,long_strip,3,4,304.19999999999936,29.365328194998945,continue_bearing_one_step_proxy,,,,0.574666,,,,,,,,,,"[100.0, 50.0]",1,100.0,25.0,1.0,0.1522633744855967,11.553902693695258,14.682664097499677,32.15851716425345,False,Zero-added-error one-step bearing model; Q4 reception not guaranteed; final clear cost assumes success. Not a task-time result.
syn-cover-long_strip-1.0-0,synthetic_state_mechanism,long_strip,3,4,720.0,45.17742799230607,grid25_nearest_order,True,25m rotated square grid,13.124404748406688,0.030792,5,150.0,47.0,28.004115226337447,90.63786008230453,2.625514403292181,243,distance/5 + 3*attempts + 2,False,,,,,,,,,,,
syn-cover-long_strip-1.0-0,synthetic_state_mechanism,long_strip,3,4,720.0,45.17742799230607,adaptive_certified_partition_nearest_order,True,B3-compatible finite strip geometry without cost gate or standoff,16.37064404413442,0.257792,3,129.12555555555554,36.825111111111106,26.841799725651576,95.62875171467763,1.9053497942386832,243,distance/5 + 3*attempts + 2,False,,,,,,,,,,,
syn-cover-long_strip-1.0-0,synthetic_state_mechanism,long_strip,3,4,720.0,45.17742799230607,continue_bearing_one_step_proxy,,,,0.602125,,,,,,,,,,"[100.0, 50.0]",1,100.0,25.0,0.3868312757201646,0.09465020576131687,17.583161644541423,22.588713996153206,33.42198212314697,False,Zero-added-error one-step bearing model; Q4 reception not guaranteed; final clear cost assumes success. Not a task-time result.
syn-cover-long_strip-1.0-37,synthetic_state_mechanism,long_strip,3,4,719.999999999999,45.17742799230607,grid25_nearest_order,True,25m rotated square grid,13.124404748406706,0.03075,5,150.0,47.0,28.004115226337447,90.63786008230453,2.625514403292181,243,distance/5 + 3*attempts + 2,False,,,,,,,,,,,
